MonthYear,MedianWaitweeks,Percentile92weeks,NoWithin18Weeks,NoWithin18WeeksWithEstimatesForMissingData,Within18WeeksPercentage,NoOver18Weeks,NoOver18WeeksWithEstimatesForMissingData,No52Weeks,No52WeeksWithEstimatesForMissingData,Over52WeekPercentage,No78Weeks,No78WeeksWithEstimatesForMissingData,No104Weeks,No104WeeksWithEstimatesForMissingData,TotalWaitingmil,TotalWaitingmilWithEstimatesForMissingData,MedianWaitweeks1,thPercentileweeks,NoWithin18Weeks1,No52Weeks1,NoOfPathwaysall,NoOfPathwaysallWithEstimatesForMissingData,MedianWaitweeks2,thPercentileweeks1,NoWithin18Weeks2,No52Weeks2,NoOfPathwaysall1,NoOfPathwaysallWithEstimatesForMissingData1,NoOfNewRTTPeriods,NoOfNewRTTPeriodsWithEstimatesForMissingData,VarName34,MedianWaitweeks3,thPercentileweeks2,NoWithin18Weeks3,No52Weeks3,NoOfPathwaysall2
01-Feb-2010,5.31197395585199,19.689558460554,2109462,2109991,0.902598864061327,227636,227656,18681,18681,0.0079932463251434,NaN,NaN,NaN,NaN,2337098,2337647,9.5036291913215,23.4887279311906,263698,657,300250,300250,3.80015110908365,15.523212109851,827198,782,846361,784101,NaN,NaN,NaN,9.05670261941448,20.8785850495805,275335,328,299991
01-Mar-2010,5.24361007088611,18.9058533893629,2205542,2205542,0.911183317668688,214983,214983,18494,18494,0.00764049121574865,NaN,NaN,NaN,NaN,2420525,2420525,8.28812718979309,23.4350746268657,311428,645,351565,351565,3.84892784086901,15.3847314423657,957320,1091,979206,907607,NaN,NaN,NaN,7.97597722284833,21.1939594538684,322462,342,350951
01-Apr-2010,5.62989984338336,19.0134826377107,2290852,2314835,0.913237618572092,217643,220050,21098,21109,0.00841062071082462,NaN,NaN,NaN,NaN,2508495,2534885,8.31417879127028,23.6779770114942,256415,468,290216,290216,4.34001254855892,14.3852824332713,822721,921,840585,784919.782608696,NaN,NaN,NaN,8.03164774681803,21.3038917525773,265895,317,289154
01-May-2010,5.52797624218207,18.1493172896399,2364484,2391940,0.918640426280015,209411,211994,18458,18492,0.00717123270374277,NaN,NaN,NaN,NaN,2573895,2603934,8.65799845168555,23.5810352941177,263013,483,291845,291845,4.31123336131431,14.6446151650652,842612,1039,858750,799603,NaN,NaN,NaN,8.36808348356677,21.2447823494335,270648,349,291664
01-Jun-2010,5.68198138481509,18.6458942288357,2347510,2412353,0.913748716475588,221588,226375,18221,18342,0.00709237249805185,NaN,NaN,NaN,NaN,2569098,2638728,8.64209737292975,22.2801184015787,291012,590,323619,323619,4.39115845539281,14.9201487307273,942117,877,960022,891536,NaN,NaN,NaN,8.32073887489505,20.0205111956062,300549,430,323413
01-Jul-2010,5.79555526918832,19.2069446093429,2413409,2440865,0.908453015756147,243205,245788,19585,19619,0.0073721662236215,NaN,NaN,NaN,NaN,2656614,2686653,8.68805729130099,22.3584454113924,280785,671,313814,313814,4.2742447437536,14.9228925254312,921418,849,940109,871623,NaN,NaN,NaN,8.33655620088828,19.8375188536953,292098,327,313720
01-Aug-2010,6.23279534139722,19.9475045254719,2391511,2418967,0.900791366906475,263389,265972,20855,20889,0.0078552864514671,NaN,NaN,NaN,NaN,2654900,2684939,8.60649244891916,22.6252131546894,257921,513,288308,288308,4.38318739054291,15.0014092332559,856885,787,874747,809374,NaN,NaN,NaN,8.26710038525841,19.9776552287582,268267,286,288244
01-Sep-2010,6.01791710027686,19.5790372925908,2341244,2368700,0.90361679216664,249726,252309,13442,13476,0.00518801838693617,NaN,NaN,NaN,NaN,2590970,2621009,9.13361357153581,23.2639905294877,275387,550,312812,312812,4.73380471276283,15.4566663848495,927108,720,948233,879747,NaN,NaN,NaN,8.69910893140844,20.4094900849858,289261,303,313230
01-Oct-2010,5.86122911680846,19.7687927780057,2320939,2344922,0.902450366841523,250880,253287,14254,14265,0.00554238070408532,NaN,NaN,NaN,NaN,2571819,2598209,9.07651588065448,23.400434602649,268162,609,304159,305751.181818182,4.2519710959454,15.6476708905943,862251,1090,883326,823278.409090909,NaN,NaN,NaN,8.67488183659689,20.7150632911392,280995,315,304634
01-Nov-2010,5.85598969896102,20.060795854517,2274528,2298511,0.900164319025864,252264,254671,13568,13579,0.00536965448679591,NaN,NaN,NaN,NaN,2526792,2553182,8.61924110141034,23.4769199346405,286524,575,325459,327127,4.24787603038856,15.6564996118347,919934,996,943770,880863,NaN,NaN,NaN,8.31566471324159,20.9408728721478,298302,321,324941
01-Dec-2010,6.91411163646749,21.4894082381518,2135754,2176569,0.885729772366942,275539,279553,14671,14748,0.00608428755858371,NaN,NaN,NaN,NaN,2411293,2456122,8.19960491282315,23.1145306351883,227192,428,255633,257225.181818182,4.13700199377383,15.3225867507886,728293,860,746941,686893.409090909,NaN,NaN,NaN,7.92003367003367,20.9224435909745,234891,258,255359
01-Jan-2011,6.52306496337495,21.5890552802984,2093487,2134302,0.883482550742008,276098,280112,14222,14299,0.00600189484656596,NaN,NaN,NaN,NaN,2369585,2414414,9.54603497356649,24.8761842105263,245258,512,285161,285161,4.7974175803186,16.0636912114014,827029,858,850814,788554,NaN,NaN,NaN,9.10311391407174,22.4156617647059,257738,334,284860
01-Feb-2011,5.47521385264469,21.2873420281064,2164846,2183823,0.886601535383651,276889,278106,14880,14884,0.00609402740264607,NaN,NaN,NaN,NaN,2441735,2461929,9.46230300859599,25.2215186680121,248434,701,289984,289984,3.48774854238302,16.0894985904148,798020,1089,821572,759312,NaN,NaN,NaN,9.03818450056409,22.7968913043478,260238,423,290316
01-Mar-2011,5.45171720515131,20.6653943945418,2196360,2215337,0.894493171036856,259064,260281,14355,14359,0.00584624081217745,NaN,NaN,NaN,NaN,2455424,2475618,8.18777233115468,25.3212615880693,291228,808,338297,338297,3.65115372524363,15.7708059673485,925657,1105,952293,880694,NaN,NaN,NaN,7.9393162908477,23.4195253955038,303043,497,338620
